[epoch:1, iter:1] Loss: 2.439 | Acc: 10.547% 
[epoch:1, iter:2] Loss: 2.446 | Acc: 14.453% 
[epoch:1, iter:3] Loss: 2.530 | Acc: 14.583% 
[epoch:1, iter:4] Loss: 2.565 | Acc: 15.039% 
[epoch:1, iter:5] Loss: 2.513 | Acc: 15.156% 
[epoch:1, iter:6] Loss: 2.454 | Acc: 15.625% 
[epoch:1, iter:7] Loss: 2.387 | Acc: 17.076% 
[epoch:1, iter:8] Loss: 2.328 | Acc: 18.115% 
[epoch:1, iter:9] Loss: 2.301 | Acc: 18.924% 
[epoch:1, iter:10] Loss: 2.264 | Acc: 19.609% 
[epoch:1, iter:11] Loss: 2.224 | Acc: 20.916% 
[epoch:1, iter:12] Loss: 2.197 | Acc: 21.680% 
[epoch:1, iter:13] Loss: 2.180 | Acc: 22.085% 
[epoch:1, iter:14] Loss: 2.154 | Acc: 23.186% 
[epoch:1, iter:15] Loss: 2.134 | Acc: 23.828% 
[epoch:1, iter:16] Loss: 2.121 | Acc: 24.146% 
[epoch:1, iter:17] Loss: 2.107 | Acc: 24.426% 
[epoch:1, iter:18] Loss: 2.094 | Acc: 24.696% 
[epoch:1, iter:19] Loss: 2.078 | Acc: 25.144% 
[epoch:1, iter:20] Loss: 2.064 | Acc: 25.508% 
[epoch:1, iter:21] Loss: 2.052 | Acc: 25.688% 
[epoch:1, iter:22] Loss: 2.038 | Acc: 26.172% 
[epoch:1, iter:23] Loss: 2.031 | Acc: 26.308% 
[epoch:1, iter:24] Loss: 2.023 | Acc: 26.611% 
[epoch:1, iter:25] Loss: 2.014 | Acc: 26.688% 
[epoch:1, iter:26] Loss: 2.005 | Acc: 27.013% 
[epoch:1, iter:27] Loss: 1.998 | Acc: 27.127% 
[epoch:1, iter:28] Loss: 1.986 | Acc: 27.539% 
[epoch:1, iter:29] Loss: 1.980 | Acc: 27.707% 
[epoch:1, iter:30] Loss: 1.978 | Acc: 27.760% 
[epoch:1, iter:31] Loss: 1.968 | Acc: 28.024% 
[epoch:1, iter:32] Loss: 1.959 | Acc: 28.333% 
[epoch:1, iter:33] Loss: 1.950 | Acc: 28.622% 
[epoch:1, iter:34] Loss: 1.942 | Acc: 29.010% 
[epoch:1, iter:35] Loss: 1.935 | Acc: 29.263% 
[epoch:1, iter:36] Loss: 1.928 | Acc: 29.492% 
[epoch:1, iter:37] Loss: 1.922 | Acc: 29.656% 
[epoch:1, iter:38] Loss: 1.918 | Acc: 29.811% 
[epoch:1, iter:39] Loss: 1.912 | Acc: 29.968% 
[epoch:1, iter:40] Loss: 1.907 | Acc: 30.059% 
[epoch:1, iter:41] Loss: 1.899 | Acc: 30.383% 
[epoch:1, iter:42] Loss: 1.895 | Acc: 30.599% 
[epoch:1, iter:43] Loss: 1.889 | Acc: 30.796% 
[epoch:1, iter:44] Loss: 1.882 | Acc: 31.090% 
[epoch:1, iter:45] Loss: 1.875 | Acc: 31.311% 
[epoch:1, iter:46] Loss: 1.871 | Acc: 31.428% 
[epoch:1, iter:47] Loss: 1.865 | Acc: 31.657% 
[epoch:1, iter:48] Loss: 1.861 | Acc: 31.755% 
[epoch:1, iter:49] Loss: 1.857 | Acc: 31.912% 
[epoch:1, iter:50] Loss: 1.852 | Acc: 32.148% 
[epoch:1, iter:51] Loss: 1.848 | Acc: 32.307% 
[epoch:1, iter:52] Loss: 1.844 | Acc: 32.392% 
[epoch:1, iter:53] Loss: 1.838 | Acc: 32.621% 
[epoch:1, iter:54] Loss: 1.834 | Acc: 32.776% 
[epoch:1, iter:55] Loss: 1.831 | Acc: 33.011% 
[epoch:1, iter:56] Loss: 1.828 | Acc: 33.050% 
